Date,GEO,MEASURES,Value
1948,Saskatchewan,Household income per capita,879.5
1949,Saskatchewan,Household income per capita,901.4
1950,Saskatchewan,Household income per capita,812.7
1951,Saskatchewan,Household income per capita,1203.1
1952,Saskatchewan,Household income per capita,1356.8
1953,Saskatchewan,Household income per capita,1239.8
1954,Saskatchewan,Household income per capita,881.5
1955,Saskatchewan,Household income per capita,1123.1
1956,Saskatchewan,Household income per capita,1276.5
1957,Saskatchewan,Household income per capita,1102.9
1958,Saskatchewan,Household income per capita,1211.7
1959,Saskatchewan,Household income per capita,1237
1960,Saskatchewan,Household income per capita,1382.7
1961,Saskatchewan,Household income per capita,1119.3
1962,Saskatchewan,Household income per capita,1535.6
1963,Saskatchewan,Household income per capita,1682.8
1964,Saskatchewan,Household income per capita,1541
1965,Saskatchewan,Household income per capita,1759.5
1966,Saskatchewan,Household income per capita,1963.3
1967,Saskatchewan,Household income per capita,1862.8
1968,Saskatchewan,Household income per capita,2102.2
1969,Saskatchewan,Household income per capita,2185.6
1970,Saskatchewan,Household income per capita,2115.7
1971,Saskatchewan,Household income per capita,2525.9
1972,Saskatchewan,Household income per capita,2750.3
1973,Saskatchewan,Household income per capita,3641.4
1974,Saskatchewan,Household income per capita,4541.9
1975,Saskatchewan,Household income per capita,5576.1
1976,Saskatchewan,Household income per capita,5960.2
1977,Saskatchewan,Household income per capita,5987.2
1978,Saskatchewan,Household income per capita,6738.9
1979,Saskatchewan,Household income per capita,7451.4
1980,Saskatchewan,Household income per capita,8199
1981,Saskatchewan,Household income per capita,10489.2
1982,Saskatchewan,Household income per capita,11712.4
1983,Saskatchewan,Household income per capita,11826.5
1984,Saskatchewan,Household income per capita,12457
1985,Saskatchewan,Household income per capita,13210.4
1986,Saskatchewan,Household income per capita,14378.4
1987,Saskatchewan,Household income per capita,13620.8
1988,Saskatchewan,Household income per capita,14613.2
1989,Saskatchewan,Household income per capita,15324.5
1990,Saskatchewan,Household income per capita,16794.1
1991,Saskatchewan,Household income per capita,17279.2
1992,Saskatchewan,Household income per capita,17314.1
1993,Saskatchewan,Household income per capita,17838.8
1994,Saskatchewan,Household income per capita,18258.7
1995,Saskatchewan,Household income per capita,19010.9
1996,Saskatchewan,Household income per capita,19805.5
1997,Saskatchewan,Household income per capita,19698.4
1998,Saskatchewan,Household income per capita,20400.2
1999,Saskatchewan,Household income per capita,21357.3
2000,Saskatchewan,Household income per capita,22441
2001,Saskatchewan,Household income per capita,23170.7
2002,Saskatchewan,Household income per capita,24006
2003,Saskatchewan,Household income per capita,25201.8
2004,Saskatchewan,Household income per capita,26686.1
2005,Saskatchewan,Household income per capita,27701.5
2006,Saskatchewan,Household income per capita,29761.9
2007,Saskatchewan,Household income per capita,32539.1
2008,Saskatchewan,Household income per capita,36389.9
2009,Saskatchewan,Household income per capita,35850.5
2010,Saskatchewan,Household income per capita,36515.8
2011,Saskatchewan,Household income per capita,39128.2
2012,Saskatchewan,Household income per capita,40713.2
2013,Saskatchewan,Household income per capita,43061.8
1926,Alberta,Household income per capita,483.6
1927,Alberta,Household income per capita,552.9
1928,Alberta,Household income per capita,495.4
1929,Alberta,Household income per capita,425.4
1930,Alberta,Household income per capita,382.8
1931,Alberta,Household income per capita,273.2
1932,Alberta,Household income per capita,231.1
1933,Alberta,Household income per capita,194.7
1934,Alberta,Household income per capita,242.7
1935,Alberta,Household income per capita,245.8
1936,Alberta,Household income per capita,248.4
1937,Alberta,Household income per capita,328.6
1938,Alberta,Household income per capita,348.3
1939,Alberta,Household income per capita,335.9
1940,Alberta,Household income per capita,394.9
1941,Alberta,Household income per capita,409.5
1942,Alberta,Household income per capita,653.4
1943,Alberta,Household income per capita,574.5
1944,Alberta,Household income per capita,720.3
1945,Alberta,Household income per capita,698
1946,Alberta,Household income per capita,858
1947,Alberta,Household income per capita,928.5
1948,Alberta,Household income per capita,1074.9
1949,Alberta,Household income per capita,1048.6
1950,Alberta,Household income per capita,1046
1951,Alberta,Household income per capita,1332.3
1952,Alberta,Household income per capita,1393.8
1953,Alberta,Household income per capita,1411.2
1954,Alberta,Household income per capita,1281.8
1955,Alberta,Household income per capita,1357.9
1956,Alberta,Household income per capita,1534.9
1957,Alberta,Household income per capita,1514.3
1958,Alberta,Household income per capita,1631.1
1959,Alberta,Household income per capita,1642.2
1960,Alberta,Household income per capita,1664.6
1961,Alberta,Household income per capita,1664.9
1962,Alberta,Household income per capita,1768.9
1963,Alberta,Household income per capita,1816.9
1964,Alberta,Household income per capita,1876.5
1965,Alberta,Household income per capita,2050.5
1966,Alberta,Household income per capita,2311.2
1967,Alberta,Household income per capita,2480.8
1968,Alberta,Household income per capita,2701.6
1969,Alberta,Household income per capita,2938.8
1970,Alberta,Household income per capita,3095.7
1971,Alberta,Household income per capita,3354.3
1972,Alberta,Household income per capita,3688.8
1973,Alberta,Household income per capita,4320.7
1974,Alberta,Household income per capita,5170
1975,Alberta,Household income per capita,6099.7
1976,Alberta,Household income per capita,6828.9
1977,Alberta,Household income per capita,7468.2
1978,Alberta,Household income per capita,8511.2
1979,Alberta,Household income per capita,9774.5
1980,Alberta,Household income per capita,11263.3
1981,Alberta,Household income per capita,13410.6
1982,Alberta,Household income per capita,14394.1
1983,Alberta,Household income per capita,14490.8
1984,Alberta,Household income per capita,14912.4
1985,Alberta,Household income per capita,16405.2
1986,Alberta,Household income per capita,16752.6
1987,Alberta,Household income per capita,17225.9
1988,Alberta,Household income per capita,18842.9
1989,Alberta,Household income per capita,19964.6
1990,Alberta,Household income per capita,21343.5
1991,Alberta,Household income per capita,21867.1
1992,Alberta,Household income per capita,21978.3
1993,Alberta,Household income per capita,22708.4
1994,Alberta,Household income per capita,22920.5
1995,Alberta,Household income per capita,23173.2
1996,Alberta,Household income per capita,23863.2
1997,Alberta,Household income per capita,25399.6
1998,Alberta,Household income per capita,26692
1999,Alberta,Household income per capita,27111.7
2000,Alberta,Household income per capita,29047.2
2001,Alberta,Household income per capita,31594.2
2002,Alberta,Household income per capita,31860.7
2003,Alberta,Household income per capita,32681.9
2004,Alberta,Household income per capita,34985.4
2005,Alberta,Household income per capita,38284.3
2006,Alberta,Household income per capita,42161.3
2007,Alberta,Household income per capita,44318.5
2008,Alberta,Household income per capita,46454.7
2009,Alberta,Household income per capita,44049.7
2010,Alberta,Household income per capita,44853.8
2011,Alberta,Household income per capita,47703.1
2012,Alberta,Household income per capita,50478.9
2013,Alberta,Household income per capita,52706.2
1926,British Columbia,Household income per capita,514.9
1927,British Columbia,Household income per capita,529.7
1928,British Columbia,Household income per capita,564.7
1929,British Columbia,Household income per capita,590.3
1930,British Columbia,Household income per capita,538.5
1931,British Columbia,Household income per capita,451
1932,British Columbia,Household income per capita,372
1933,British Columbia,Household income per capita,347.3
1934,British Columbia,Household income per capita,372.8
1935,British Columbia,Household income per capita,400.8
1936,British Columbia,Household income per capita,426.8
1937,British Columbia,Household income per capita,470.4
1938,British Columbia,Household income per capita,472.3
1939,British Columbia,Household income per capita,477.3
1940,British Columbia,Household income per capita,528
1941,British Columbia,Household income per capita,613.7
1942,British Columbia,Household income per capita,733.3
1943,British Columbia,Household income per capita,832.2
1944,British Columbia,Household income per capita,835.8
1945,British Columbia,Household income per capita,872.5
1946,British Columbia,Household income per capita,912.3
1947,British Columbia,Household income per capita,1014.4
1948,British Columbia,Household income per capita,1139.6
1949,British Columbia,Household income per capita,1173.4
1950,British Columbia,Household income per capita,1262.1
1951,British Columbia,Household income per capita,1388.8
1952,British Columbia,Household income per capita,1510.9
1953,British Columbia,Household income per capita,1545.1
1954,British Columbia,Household income per capita,1544.3
1955,British Columbia,Household income per capita,1631.2
1956,British Columbia,Household income per capita,1736.3
1957,British Columbia,Household income per capita,1804.5
1958,British Columbia,Household income per capita,1767
1959,British Columbia,Household income per capita,1834.8
1960,British Columbia,Household income per capita,1863.4
1961,British Columbia,Household income per capita,1862.2
1962,British Columbia,Household income per capita,1942
1963,British Columbia,Household income per capita,2031.9
1964,British Columbia,Household income per capita,2169.3
1965,British Columbia,Household income per capita,2350.3
1966,British Columbia,Household income per capita,2539.2
1967,British Columbia,Household income per capita,2709.3
1968,British Columbia,Household income per capita,2870.7
1969,British Columbia,Household income per capita,3168.6
1970,British Columbia,Household income per capita,3340.4
1971,British Columbia,Household income per capita,3624.9
1972,British Columbia,Household income per capita,3999.1
1973,British Columbia,Household income per capita,4688.6
1974,British Columbia,Household income per capita,5480.4
1975,British Columbia,Household income per capita,6250.3
1976,British Columbia,Household income per capita,7057
1977,British Columbia,Household income per capita,7789.9
1978,British Columbia,Household income per capita,8614.8
1979,British Columbia,Household income per capita,9610
1980,British Columbia,Household income per capita,10997.1
1981,British Columbia,Household income per capita,12704.8
1982,British Columbia,Household income per capita,13492.3
1983,British Columbia,Household income per capita,13656.1
1984,British Columbia,Household income per capita,14205.5
1985,British Columbia,Household income per capita,15033.7
1986,British Columbia,Household income per capita,15750.8
1987,British Columbia,Household income per capita,16941
1988,British Columbia,Household income per capita,18313.8
1989,British Columbia,Household income per capita,19912.1
1990,British Columbia,Household income per capita,21371
1991,British Columbia,Household income per capita,21915
1992,British Columbia,Household income per capita,22401.1
1993,British Columbia,Household income per capita,22783.7
1994,British Columbia,Household income per capita,23153.3
1995,British Columbia,Household income per capita,23560.9
1996,British Columbia,Household income per capita,23591.7
1997,British Columbia,Household income per capita,23872.3
1998,British Columbia,Household income per capita,24171.9
1999,British Columbia,Household income per capita,24976
2000,British Columbia,Household income per capita,26047.1
2001,British Columbia,Household income per capita,26695
2002,British Columbia,Household income per capita,27586
2003,British Columbia,Household income per capita,28400
2004,British Columbia,Household income per capita,29912.4
2005,British Columbia,Household income per capita,31460
2006,British Columbia,Household income per capita,33949.4
2007,British Columbia,Household income per capita,35490.5
2008,British Columbia,Household income per capita,36424.7
2009,British Columbia,Household income per capita,35828.5
2010,British Columbia,Household income per capita,36402.1
2011,British Columbia,Household income per capita,37943.2
2012,British Columbia,Household income per capita,39139.3
2013,British Columbia,Household income per capita,40631.6
1926,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1927,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1928,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1929,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1930,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1931,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1932,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1933,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1934,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1935,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1936,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1937,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1938,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1939,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1940,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1941,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1942,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1943,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1944,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1945,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1946,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1947,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1948,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1949,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1950,"Yukon, Northwest territories, Nunavut",Household income per capita,..
1951,"Yukon, Northwest territories, Nunavut",Household income per capita,1160
1952,"Yukon, Northwest territories, Nunavut",Household income per capita,1440
1953,"Yukon, Northwest territories, Nunavut",Household income per capita,1560
1954,"Yukon, Northwest territories, Nunavut",Household income per capita,1666.7
1955,"Yukon, Northwest territories, Nunavut",Household income per capita,1689.7
1956,"Yukon, Northwest territories, Nunavut",Household income per capita,2129
1957,"Yukon, Northwest territories, Nunavut",Household income per capita,2129
1958,"Yukon, Northwest territories, Nunavut",Household income per capita,2000
1959,"Yukon, Northwest territories, Nunavut",Household income per capita,2029.4
1960,"Yukon, Northwest territories, Nunavut",Household income per capita,2000
1961,"Yukon, Northwest territories, Nunavut",Household income per capita,1918.9
1962,"Yukon, Northwest territories, Nunavut",Household income per capita,1871.8
1963,"Yukon, Northwest territories, Nunavut",Household income per capita,1900
1964,"Yukon, Northwest territories, Nunavut",Household income per capita,2023.8
1965,"Yukon, Northwest territories, Nunavut",Household income per capita,2119
1966,"Yukon, Northwest territories, Nunavut",Household income per capita,2357.1
1967,"Yukon, Northwest territories, Nunavut",Household income per capita,2590.9
1968,"Yukon, Northwest territories, Nunavut",Household income per capita,2800
1969,"Yukon, Northwest territories, Nunavut",Household income per capita,3255.3
1970,"Yukon, Northwest territories, Nunavut",Household income per capita,3775.5
1971,"Yukon, Northwest territories, Nunavut",Household income per capita,3788.5
1972,"Yukon, Northwest territories, Nunavut",Household income per capita,4017.2
1973,"Yukon, Northwest territories, Nunavut",Household income per capita,4573.8
1974,"Yukon, Northwest territories, Nunavut",Household income per capita,5387.1
1975,"Yukon, Northwest territories, Nunavut",Household income per capita,6250
1976,"Yukon, Northwest territories, Nunavut",Household income per capita,6954.5
1977,"Yukon, Northwest territories, Nunavut",Household income per capita,8194
1978,"Yukon, Northwest territories, Nunavut",Household income per capita,9029.4
1979,"Yukon, Northwest territories, Nunavut",Household income per capita,10176.5
1980,"Yukon, Northwest territories, Nunavut",Household income per capita,11260.9
1981,"Yukon, Northwest territories, Nunavut",Household income per capita,13295.8
1982,"Yukon, Northwest territories, Nunavut",Household income per capita,14219.2
1983,"Yukon, Northwest territories, Nunavut",Household income per capita,14675.7
1984,"Yukon, Northwest territories, Nunavut",Household income per capita,15960.5
1985,"Yukon, Northwest territories, Nunavut",Household income per capita,16628.2
1986,"Yukon, Northwest territories, Nunavut",Household income per capita,17278.5
1987,"Yukon, Northwest territories, Nunavut",Household income per capita,18550
1988,"Yukon, Northwest territories, Nunavut",Household income per capita,20256.1
1989,"Yukon, Northwest territories, Nunavut",Household income per capita,21500
1990,"Yukon, Northwest territories, Nunavut",Household income per capita,22907
1991,"Yukon, Northwest territories, Nunavut",Household income per capita,23640.4
1992,"Yukon, Northwest territories, Nunavut",Household income per capita,24329.7
1993,"Yukon, Northwest territories, Nunavut",Household income per capita,24387.1
1994,"Yukon, Northwest territories, Nunavut",Household income per capita,24925.5
1995,"Yukon, Northwest territories, Nunavut",Household income per capita,25354.2
1996,"Yukon, Northwest territories, Nunavut",Household income per capita,25428.6
1997,"Yukon, Northwest territories, Nunavut",Household income per capita,25131.3
1998,"Yukon, Northwest territories, Nunavut",Household income per capita,26000
1999,"Yukon, Northwest territories, Nunavut",Household income per capita,27826.5
2000,"Yukon, Northwest territories, Nunavut",Household income per capita,29234.7
2001,"Yukon, Northwest territories, Nunavut",Household income per capita,31424.2
2002,"Yukon, Northwest territories, Nunavut",Household income per capita,33040
2003,"Yukon, Northwest territories, Nunavut",Household income per capita,34068.6
2004,"Yukon, Northwest territories, Nunavut",Household income per capita,35076.9
2005,"Yukon, Northwest territories, Nunavut",Household income per capita,36761.9
2006,"Yukon, Northwest territories, Nunavut",Household income per capita,38867.9
2007,"Yukon, Northwest territories, Nunavut",Household income per capita,41915.9
2008,"Yukon, Northwest territories, Nunavut",Household income per capita,43907.4
2009,"Yukon, Northwest territories, Nunavut",Household income per capita,43642.2
2010,"Yukon, Northwest territories, Nunavut",Household income per capita,44711.7
2011,"Yukon, Northwest territories, Nunavut",Household income per capita,46991.1
2012,"Yukon, Northwest territories, Nunavut",Household income per capita,48780.7
2013,"Yukon, Northwest territories, Nunavut",Household income per capita,49791.3
1926,Yukon,Household income per capita,..
1927,Yukon,Household income per capita,..
1928,Yukon,Household income per capita,..
1929,Yukon,Household income per capita,..
1930,Yukon,Household income per capita,..
1931,Yukon,Household income per capita,..
1932,Yukon,Household income per capita,..
1933,Yukon,Household income per capita,..
1934,Yukon,Household income per capita,..
1935,Yukon,Household income per capita,..
1936,Yukon,Household income per capita,..
1937,Yukon,Household income per capita,..
1938,Yukon,Household income per capita,..
1939,Yukon,Household income per capita,..
1940,Yukon,Household income per capita,..
1941,Yukon,Household income per capita,..
1942,Yukon,Household income per capita,..
1943,Yukon,Household income per capita,..
1944,Yukon,Household income per capita,..
1945,Yukon,Household income per capita,..
1946,Yukon,Household income per capita,..
1947,Yukon,Household income per capita,..
1948,Yukon,Household income per capita,..
1949,Yukon,Household income per capita,..
1950,Yukon,Household income per capita,..
1951,Yukon,Household income per capita,..
1952,Yukon,Household income per capita,..
1953,Yukon,Household income per capita,..
1954,Yukon,Household income per capita,..
1955,Yukon,Household income per capita,..
1956,Yukon,Household income per capita,..
1957,Yukon,Household income per capita,..
1958,Yukon,Household income per capita,..
1959,Yukon,Household income per capita,..
1960,Yukon,Household income per capita,..
1961,Yukon,Household income per capita,..
1962,Yukon,Household income per capita,..
1963,Yukon,Household income per capita,..
1964,Yukon,Household income per capita,..
1965,Yukon,Household income per capita,..
1966,Yukon,Household income per capita,..
1967,Yukon,Household income per capita,..
1968,Yukon,Household income per capita,..
1969,Yukon,Household income per capita,..
1970,Yukon,Household income per capita,..
1971,Yukon,Household income per capita,..
1972,Yukon,Household income per capita,..
1973,Yukon,Household income per capita,..
1974,Yukon,Household income per capita,..
1975,Yukon,Household income per capita,..
1976,Yukon,Household income per capita,..
1977,Yukon,Household income per capita,..
1978,Yukon,Household income per capita,..
1979,Yukon,Household income per capita,..
1980,Yukon,Household income per capita,..
1981,Yukon,Household income per capita,15000
1982,Yukon,Household income per capita,13920
1983,Yukon,Household income per capita,14833.3
1984,Yukon,Household income per capita,16166.7
1985,Yukon,Household income per capita,16875
1986,Yukon,Household income per capita,18541.7
1987,Yukon,Household income per capita,19680
1988,Yukon,Household income per capita,21038.5
1989,Yukon,Household income per capita,21963
1990,Yukon,Household income per capita,23214.3
1991,Yukon,Household income per capita,24285.7
1992,Yukon,Household income per capita,24833.3
1993,Yukon,Household income per capita,24233.3
1994,Yukon,Household income per capita,24200
1995,Yukon,Household income per capita,26166.7
1996,Yukon,Household income per capita,26612.9
1997,Yukon,Household income per capita,25562.5
1998,Yukon,Household income per capita,26451.6
1999,Yukon,Household income per capita,27871
2000,Yukon,Household income per capita,29666.7
2001,Yukon,Household income per capita,31900
2002,Yukon,Household income per capita,33600
2003,Yukon,Household income per capita,33806.5
2004,Yukon,Household income per capita,35838.7
2005,Yukon,Household income per capita,37375
2006,Yukon,Household income per capita,40031.3
2007,Yukon,Household income per capita,44187.5
2008,Yukon,Household income per capita,45242.4
2009,Yukon,Household income per capita,44970.6
2010,Yukon,Household income per capita,47852.9
2011,Yukon,Household income per capita,50514.3
2012,Yukon,Household income per capita,51277.8
2013,Yukon,Household income per capita,52666.7
1926,Northwest territories including Nunavut,Household income per capita,..
1927,Northwest territories including Nunavut,Household income per capita,..
1928,Northwest territories including Nunavut,Household income per capita,..
1929,Northwest territories including Nunavut,Household income per capita,..
1930,Northwest territories including Nunavut,Household income per capita,..
1931,Northwest territories including Nunavut,Household income per capita,..
1932,Northwest territories including Nunavut,Household income per capita,..
1933,Northwest territories including Nunavut,Household income per capita,..
1934,Northwest territories including Nunavut,Household income per capita,..
1935,Northwest territories including Nunavut,Household income per capita,..
1936,Northwest territories including Nunavut,Household income per capita,..
1937,Northwest territories including Nunavut,Household income per capita,..
1938,Northwest territories including Nunavut,Household income per capita,..
1939,Northwest territories including Nunavut,Household income per capita,..
1940,Northwest territories including Nunavut,Household income per capita,..
1941,Northwest territories including Nunavut,Household income per capita,..
1942,Northwest territories including Nunavut,Household income per capita,..
1943,Northwest territories including Nunavut,Household income per capita,..
1944,Northwest territories including Nunavut,Household income per capita,..
1945,Northwest territories including Nunavut,Household income per capita,..
1946,Northwest territories including Nunavut,Household income per capita,..
1947,Northwest territories including Nunavut,Household income per capita,..
1948,Northwest territories including Nunavut,Household income per capita,..
1949,Northwest territories including Nunavut,Household income per capita,..
1950,Northwest territories including Nunavut,Household income per capita,..
1951,Northwest territories including Nunavut,Household income per capita,..
1952,Northwest territories including Nunavut,Household income per capita,..
1953,Northwest territories including Nunavut,Household income per capita,..
1954,Northwest territories including Nunavut,Household income per capita,..
1955,Northwest territories including Nunavut,Household income per capita,..
1956,Northwest territories including Nunavut,Household income per capita,..
1957,Northwest territories including Nunavut,Household income per capita,..
1958,Northwest territories including Nunavut,Household income per capita,..
1959,Northwest territories including Nunavut,Household income per capita,..
1960,Northwest territories including Nunavut,Household income per capita,..
1961,Northwest territories including Nunavut,Household income per capita,..
1962,Northwest territories including Nunavut,Household income per capita,..
1963,Northwest territories including Nunavut,Household income per capita,..
1964,Northwest territories including Nunavut,Household income per capita,..
1965,Northwest territories including Nunavut,Household income per capita,..
1966,Northwest territories including Nunavut,Household income per capita,..
1967,Northwest territories including Nunavut,Household income per capita,..
1968,Northwest territories including Nunavut,Household income per capita,..
1969,Northwest territories including Nunavut,Household income per capita,..
1970,Northwest territories including Nunavut,Household income per capita,..
1971,Northwest territories including Nunavut,Household income per capita,..
1972,Northwest territories including Nunavut,Household income per capita,..
1973,Northwest territories including Nunavut,Household income per capita,..
1974,Northwest territories including Nunavut,Household income per capita,..
1975,Northwest territories including Nunavut,Household income per capita,..
1976,Northwest territories including Nunavut,Household income per capita,..
1977,Northwest territories including Nunavut,Household income per capita,..
1978,Northwest territories including Nunavut,Household income per capita,..
1979,Northwest territories including Nunavut,Household income per capita,..
1980,Northwest territories including Nunavut,Household income per capita,..
1981,Northwest territories including Nunavut,Household income per capita,12425.5
1982,Northwest territories including Nunavut,Household income per capita,14081.6
1983,Northwest territories including Nunavut,Household income per capita,14600
1984,Northwest territories including Nunavut,Household income per capita,15865.4
1985,Northwest territories including Nunavut,Household income per capita,16518.5
1986,Northwest territories including Nunavut,Household income per capita,16727.3
1987,Northwest territories including Nunavut,Household income per capita,18036.4
1988,Northwest territories including Nunavut,Household income per capita,19892.9
1989,Northwest territories including Nunavut,Household income per capita,21280.7
1990,Northwest territories including Nunavut,Household income per capita,22758.6
1991,Northwest territories including Nunavut,Household income per capita,23733.3
1992,Northwest territories including Nunavut,Household income per capita,23693.5
1993,Northwest territories including Nunavut,Household income per capita,24460.3
1994,Northwest territories including Nunavut,Household income per capita,24876.9
1995,Northwest territories including Nunavut,Household income per capita,24984.8
1996,Northwest territories including Nunavut,Household income per capita,24880.6
1997,Northwest territories including Nunavut,Household income per capita,24558.8
1998,Northwest territories including Nunavut,Household income per capita,25791
1999,Northwest territories including Nunavut,Household income per capita,27806
2000,Northwest territories including Nunavut,Household income per capita,29044.1
2001,Northwest territories including Nunavut,Household income per capita,31217.4
2002,Northwest territories including Nunavut,Household income per capita,32800
2003,Northwest territories including Nunavut,Household income per capita,34183.1
2004,Northwest territories including Nunavut,Household income per capita,34753.4
2005,Northwest territories including Nunavut,Household income per capita,36000
2006,Northwest territories including Nunavut,Household income per capita,38364.9
2007,Northwest territories including Nunavut,Household income per capita,41500
2008,Northwest territories including Nunavut,Household income per capita,43320
2009,Northwest territories including Nunavut,Household income per capita,43040
2010,Northwest territories including Nunavut,Household income per capita,43894.7
2011,Northwest territories including Nunavut,Household income per capita,45389.6
2012,Northwest territories including Nunavut,Household income per capita,47628.2
2013,Northwest territories including Nunavut,Household income per capita,48481
1926,Northwest territories,Household income per capita,..
1927,Northwest territories,Household income per capita,..
1928,Northwest territories,Household income per capita,..
1929,Northwest territories,Household income per capita,..
1930,Northwest territories,Household income per capita,..
1931,Northwest territories,Household income per capita,..
1932,Northwest territories,Household income per capita,..
1933,Northwest territories,Household income per capita,..
1934,Northwest territories,Household income per capita,..
1935,Northwest territories,Household income per capita,..
1936,Northwest territories,Household income per capita,..
1937,Northwest territories,Household income per capita,..
1938,Northwest territories,Household income per capita,..
1939,Northwest territories,Household income per capita,..
1940,Northwest territories,Household income per capita,..
1941,Northwest territories,Household income per capita,..
1942,Northwest territories,Household income per capita,..
1943,Northwest territories,Household income per capita,..
1944,Northwest territories,Household income per capita,..
1945,Northwest territories,Household income per capita,..
1946,Northwest territories,Household income per capita,..
1947,Northwest territories,Household income per capita,..
1948,Northwest territories,Household income per capita,..
1949,Northwest territories,Household income per capita,..
1950,Northwest territories,Household income per capita,..
1951,Northwest territories,Household income per capita,..
1952,Northwest territories,Household income per capita,..
1953,Northwest territories,Household income per capita,..
1954,Northwest territories,Household income per capita,..
1955,Northwest territories,Household income per capita,..
1956,Northwest territories,Household income per capita,..
1957,Northwest territories,Household income per capita,..
1958,Northwest territories,Household income per capita,..
1959,Northwest territories,Household income per capita,..
1960,Northwest territories,Household income per capita,..
1961,Northwest territories,Household income per capita,..
1962,Northwest territories,Household income per capita,..
1963,Northwest territories,Household income per capita,..
1964,Northwest territories,Household income per capita,..
1965,Northwest territories,Household income per capita,..
1966,Northwest territories,Household income per capita,..
1967,Northwest territories,Household income per capita,..
1968,Northwest territories,Household income per capita,..
1969,Northwest territories,Household income per capita,..
1970,Northwest territories,Household income per capita,..
1971,Northwest territories,Household income per capita,..
1972,Northwest territories,Household income per capita,..
1973,Northwest territories,Household income per capita,..
1974,Northwest territories,Household income per capita,..
1975,Northwest territories,Household income per capita,..
1976,Northwest territories,Household income per capita,..
1977,Northwest territories,Household income per capita,..
1978,Northwest territories,Household income per capita,..
1979,Northwest territories,Household income per capita,..
1980,Northwest territories,Household income per capita,..
1981,Northwest territories,Household income per capita,..
1982,Northwest territories,Household income per capita,..
1983,Northwest territories,Household income per capita,..
1984,Northwest territories,Household income per capita,..
1985,Northwest territories,Household income per capita,..
1986,Northwest territories,Household income per capita,..
1987,Northwest territories,Household income per capita,..
1988,Northwest territories,Household income per capita,..
1989,Northwest territories,Household income per capita,..
1990,Northwest territories,Household income per capita,..
1991,Northwest territories,Household income per capita,..
1992,Northwest territories,Household income per capita,..
1993,Northwest territories,Household income per capita,..
1994,Northwest territories,Household income per capita,..
1995,Northwest territories,Household income per capita,..
1996,Northwest territories,Household income per capita,..
1997,Northwest territories,Household income per capita,..
1998,Northwest territories,Household income per capita,..
1999,Northwest territories,Household income per capita,31122
2000,Northwest territories,Household income per capita,33000
2001,Northwest territories,Household income per capita,35317.1
2002,Northwest territories,Household income per capita,37780.5
2003,Northwest territories,Household income per capita,38595.2
2004,Northwest territories,Household income per capita,39348.8
2005,Northwest territories,Household income per capita,41558.1
2006,Northwest territories,Household income per capita,44069.8
2007,Northwest territories,Household income per capita,48255.8
2008,Northwest territories,Household income per capita,50139.5
2009,Northwest territories,Household income per capita,49511.6
2010,Northwest territories,Household income per capita,50093
2011,Northwest territories,Household income per capita,51814
2012,Northwest territories,Household income per capita,54159.1
2013,Northwest territories,Household income per capita,55318.2
1926,Nunavut,Household income per capita,..
1927,Nunavut,Household income per capita,..
1928,Nunavut,Household income per capita,..
1929,Nunavut,Household income per capita,..
1930,Nunavut,Household income per capita,..
1931,Nunavut,Household income per capita,..
1932,Nunavut,Household income per capita,..
1933,Nunavut,Household income per capita,..
1934,Nunavut,Household income per capita,..
1935,Nunavut,Household income per capita,..
1936,Nunavut,Household income per capita,..
1937,Nunavut,Household income per capita,..
1938,Nunavut,Household income per capita,..
1939,Nunavut,Household income per capita,..
1940,Nunavut,Household income per capita,..
1941,Nunavut,Household income per capita,..
1942,Nunavut,Household income per capita,..
1943,Nunavut,Household income per capita,..
1944,Nunavut,Household income per capita,..
1945,Nunavut,Household income per capita,..
1946,Nunavut,Household income per capita,..
1947,Nunavut,Household income per capita,..
1948,Nunavut,Household income per capita,..
1949,Nunavut,Household income per capita,..
1950,Nunavut,Household income per capita,..
1951,Nunavut,Household income per capita,..
1952,Nunavut,Household income per capita,..
1953,Nunavut,Household income per capita,..
